invc_code,dispatch_revenue,artb_sales_amt,artb_tax_amt,artb_total,difference
1483339,4475.00,4999.75,253.50,5253.25,-778.25
1483340,3415.51,3532.26,211.94,3744.20,-328.69
1483341,2338.00,2508.50,150.52,2659.02,-321.02
1483342,832.50,925.75,46.05,971.80,-139.30
1483343,1480.00,1525.25,74.37,1599.62,-119.62
1483344,1781.25,1827.50,92.06,1919.56,-138.31
1483345,5776.00,6189.00,300.96,6489.96,-713.96
1483346,177.00,279.25,9.06,288.31,-111.31
1483347,1501.50,1560.00,73.71,1633.71,-132.21
1483348,236.25,362.00,0.00,362.00,-125.75
1483349,706.50,747.75,35.37,783.12,-76.62
1483350,706.00,760.25,36.12,796.37,-90.37
1483351,1686.00,1750.50,105.03,1855.53,-169.53
1483352,525.00,575.25,34.52,609.77,-84.77
1483353,3002.00,3094.50,150.48,3244.98,-242.98
1483354,2707.50,2724.00,128.25,2852.25,-144.75
1483355,6768.75,6810.00,408.60,7218.60,-449.85
1483356,1253.38,1409.63,84.58,1494.21,-240.83
1483357,1072.50,1200.75,72.05,1272.80,-200.30
1483358,4151.50,4268.25,213.21,4481.46,-329.96
1483359,178.50,208.75,0.00,208.75,-30.25
1483360,4617.00,4955.25,297.32,5252.57,-635.57
1483361,7421.00,7954.25,400.98,8355.23,-934.23
1483362,2802.50,2903.25,138.51,3041.76,-239.26
1483363,1415.50,1461.75,70.11,1531.86,-116.36
1483364,82.50,82.50,4.95,87.45,-4.95
1483365,120.00,120.00,7.20,127.20,-7.20
1483369,20695.50,22378.50,0.00,22378.50,-1683.00
1483370,230.63,356.38,21.38,377.76,-147.13
1483371,2275.00,2434.50,146.08,2580.58,-305.58
1483372,4375.00,4499.75,269.99,4769.74,-394.74
1483373,12985.00,13438.50,806.31,14244.81,-1259.81
1483374,1358.50,1404.75,84.29,1489.04,-130.54
1483375,825.00,888.25,53.30,941.55,-116.55
1483376,4266.00,4668.75,280.13,4948.88,-682.88
1483377,4607.75,4976.25,348.34,5324.59,-716.84
1483378,1595.63,1705.63,102.34,1807.97,-212.34
1483379,2320.00,2568.50,154.11,2722.61,-402.61
1483380,3116.00,3341.50,200.50,3542.00,-426.00
1483381,3934.01,4070.76,284.95,4355.71,-421.70
1483382,5268.76,5451.76,327.11,5778.87,-510.11
1483383,9177.00,9796.50,685.76,10482.26,-1305.26
1483384,2326.50,2623.50,157.41,2780.91,-454.41
1483385,1716.00,1852.50,111.15,1963.65,-247.65
1483386,4495.50,4631.25,277.88,4909.13,-413.63
1483387,1111.50,1145.75,80.20,1225.95,-114.45
1483388,5904.00,6109.25,366.56,6475.81,-571.81
1483389,1026.00,1058.25,74.08,1132.33,-106.33
1483390,4507.25,4661.25,279.68,4940.93,-433.68
1483391,3848.50,4303.25,218.01,4521.26,-672.76
1483392,2450.50,2688.00,136.90,2824.90,-374.40
1483393,359.00,495.25,18.42,513.67,-154.67
1483394,1453.50,1499.75,72.39,1572.14,-118.64
1483395,10710.00,11056.00,533.40,11589.40,-879.40
1483396,401.63,528.38,22.21,550.59,-148.96
1483397,769.50,795.75,39.15,834.90,-65.40
1483398,7516.76,7566.26,453.98,8020.24,-503.48
1483399,2107.50,2124.00,127.44,2251.44,-143.94
1483400,4911.75,5239.75,259.31,5499.06,-587.31
1483401,1432.00,1472.25,73.44,1545.69,-113.69
1483402,10830.00,11848.50,605.34,12453.84,-1623.84
1483403,612.50,679.75,31.29,711.04,-98.54
1483404,2508.00,3351.00,165.87,3516.87,-1008.87
1483405,6568.50,7088.25,425.30,7513.55,-945.05
1483406,540.00,626.25,29.88,656.13,-116.13
1483407,3170.50,3365.25,201.92,3567.17,-396.67
1483408,2016.00,2172.50,130.35,2302.85,-286.85
1483409,1349.00,1537.75,74.67,1612.42,-263.42
1483410,2718.75,2922.75,140.63,3063.38,-344.63
1483411,2030.00,2129.50,101.58,2231.08,-201.08
1483412,870.00,902.25,42.84,945.09,-75.09
1483413,2160.00,4144.50,226.08,4370.58,-2210.58
1483414,3268.00,3588.50,180.12,3768.62,-500.62
1483415,1588.50,1632.75,81.27,1714.02,-125.52
1483416,2529.00,2545.50,119.34,2664.84,-135.84
1483417,2336.00,2416.50,115.20,2531.70,-195.70
1483418,1358.50,1404.75,66.69,1471.44,-112.94
1483419,2664.00,2936.50,176.19,3112.69,-448.69
1483420,1835.00,2011.50,101.70,2113.20,-278.20
1483421,762.75,843.00,41.99,884.99,-122.24
1483422,840.00,894.25,2.30,896.55,-56.55
1483423,1316.00,1356.25,66.48,1422.73,-106.73
1483424,29160.00,30036.75,1468.80,31505.55,-2345.55
1483425,5056.00,5217.00,313.02,5530.02,-474.02
1483426,7611.00,7824.25,389.58,8213.83,-602.83
1483427,2431.00,2719.50,163.17,2882.67,-451.67
1483428,5637.52,6334.77,380.09,6714.86,-1077.34
1483429,1287.25,1447.50,86.85,1534.35,-247.10
1483430,1300.00,1436.25,86.18,1522.43,-222.43
1483431,1440.00,1596.50,76.80,1673.30,-233.30
1483432,720.00,798.25,38.40,836.65,-116.65
1483433,6516.00,6981.00,352.08,7333.08,-817.08
1483434,6659.64,6725.64,403.54,7129.18,-469.54
1483435,78.00,78.00,4.68,82.68,-4.68
1483436,807.48,815.73,48.94,864.67,-57.19
1483437,82.50,82.50,4.95,87.45,-4.95
1483438,285.00,285.00,17.10,302.10,-17.10
1483439,22.00,22.00,1.32,23.32,-1.32
