invc_code,dispatch_revenue,ar_total,difference
1483339,4475.00,5253.25,-778.25
1483340,3415.51,3744.20,-328.69
1483341,2338.00,2659.02,-321.02
1483342,832.50,971.80,-139.30
1483343,1480.00,1599.62,-119.62
1483344,1781.25,1919.56,-138.31
1483345,5776.00,6489.96,-713.96
1483346,177.00,288.31,-111.31
1483347,1501.50,1633.71,-132.21
1483348,236.25,362.00,-125.75
1483349,706.50,783.12,-76.62
1483350,706.00,796.37,-90.37
1483351,1686.00,1855.53,-169.53
1483352,525.00,609.77,-84.77
1483353,3002.00,3244.98,-242.98
1483354,2707.50,2852.25,-144.75
1483355,6768.75,7218.60,-449.85
1483356,1253.38,1494.21,-240.83
1483357,1072.50,1272.80,-200.30
1483358,4151.50,4481.46,-329.96
1483359,178.50,208.75,-30.25
1483360,4617.00,5252.57,-635.57
1483361,7421.00,8355.23,-934.23
1483362,2802.50,3041.76,-239.26
1483363,1415.50,1531.86,-116.36
1483364,82.50,87.45,-4.95
1483365,120.00,127.20,-7.20
1483369,20695.50,22378.50,-1683.00
1483370,230.63,377.76,-147.13
1483371,2275.00,2580.58,-305.58
1483372,4375.00,4769.74,-394.74
1483373,12985.00,14244.81,-1259.81
1483374,1358.50,1489.04,-130.54
1483375,825.00,941.55,-116.55
1483376,4266.00,4948.88,-682.88
1483377,4607.75,5324.59,-716.84
1483378,1595.63,1807.97,-212.34
1483379,2320.00,2722.61,-402.61
1483380,3116.00,3542.00,-426.00
1483381,3934.01,4355.71,-421.70
1483382,5268.76,5778.87,-510.11
1483383,9177.00,10482.26,-1305.26
1483384,2326.50,2780.91,-454.41
1483385,1716.00,1963.65,-247.65
1483386,4495.50,4909.13,-413.63
1483387,1111.50,1225.95,-114.45
1483388,5904.00,6475.81,-571.81
1483389,1026.00,1132.33,-106.33
1483390,4507.25,4940.93,-433.68
1483391,3848.50,4521.26,-672.76
1483392,2450.50,2824.90,-374.40
1483393,359.00,513.67,-154.67
1483394,1453.50,1572.14,-118.64
1483395,10710.00,11589.40,-879.40
1483396,401.63,550.59,-148.96
1483397,769.50,834.90,-65.40
1483398,7516.76,8020.24,-503.48
1483399,2107.50,2251.44,-143.94
1483400,4911.75,5499.06,-587.31
1483401,1432.00,1545.69,-113.69
1483402,10830.00,12453.84,-1623.84
1483403,612.50,711.04,-98.54
1483404,2508.00,3516.87,-1008.87
1483405,6568.50,7513.55,-945.05
1483406,540.00,656.13,-116.13
1483407,3170.50,3567.17,-396.67
1483408,2016.00,2302.85,-286.85
1483409,1349.00,1612.42,-263.42
1483410,2718.75,3063.38,-344.63
1483411,2030.00,2231.08,-201.08
1483412,870.00,945.09,-75.09
1483413,2160.00,4370.58,-2210.58
1483414,3268.00,3768.62,-500.62
1483415,1588.50,1714.02,-125.52
1483416,2529.00,2664.84,-135.84
1483417,2336.00,2531.70,-195.70
1483418,1358.50,1471.44,-112.94
1483419,2664.00,3112.69,-448.69
1483420,1835.00,2113.20,-278.20
1483421,762.75,884.99,-122.24
1483422,840.00,896.55,-56.55
1483423,1316.00,1422.73,-106.73
1483424,29160.00,31505.55,-2345.55
1483425,5056.00,5530.02,-474.02
1483426,7611.00,8213.83,-602.83
1483427,2431.00,2882.67,-451.67
1483428,5637.52,6714.86,-1077.34
1483429,1287.25,1534.35,-247.10
1483430,1300.00,1522.43,-222.43
1483431,1440.00,1673.30,-233.30
1483432,720.00,836.65,-116.65
1483433,6516.00,7333.08,-817.08
1483434,6659.64,7129.18,-469.54
1483435,78.00,82.68,-4.68
1483436,807.48,864.67,-57.19
1483437,82.50,87.45,-4.95
1483438,285.00,302.10,-17.10
1483439,22.00,23.32,-1.32
1483440,501.00,625.71,-124.71
1483441,1759.50,1909.63,-150.13
1483442,4495.00,4873.34,-378.34
1483443,542.75,634.67,-91.92
1483444,239.25,350.06,-110.81
1483445,2164.50,2532.34,-367.84
1483446,924.00,1297.86,-373.86
1483447,1762.25,1899.42,-137.17
1483448,9774.50,10907.67,-1133.17
1483449,900.38,975.46,-75.08
1483450,5776.00,6489.96,-713.96
1483451,324.00,416.57,-92.57
1483452,2211.00,2505.36,-294.36
1483453,6479.00,8322.70,-1843.70
1483454,5945.00,6442.99,-497.99
1483455,952.00,1101.23,-149.23
1483456,1392.00,1503.29,-111.29
1483457,3861.00,4698.45,-837.45
1483458,1017.50,1135.20,-117.70
1483459,236.25,382.00,-145.75
1483460,987.00,1132.71,-145.71
1483461,1398.25,1547.18,-148.93
1483462,535.50,643.20,-107.70
1483463,1103.13,1192.82,-89.69
1483464,5964.50,6517.41,-552.91
1483465,805.50,888.06,-82.56
1483466,2698.00,3270.10,-572.10
1483467,3050.50,3713.45,-662.95
1483468,9891.50,11793.03,-1901.53
1483469,137.50,292.30,-154.80
1483470,1435.50,1568.54,-133.04
1483471,540.00,667.05,-127.05
1483472,1800.00,2042.50,-242.50
1483473,1080.00,1205.85,-125.85
1483474,5130.00,5796.35,-666.35
1483475,343.00,479.43,-136.43
1483476,178.50,198.75,-20.25
1483477,2025.00,2216.99,-191.99
1483478,6878.00,7738.64,-860.64
1483479,573.50,710.72,-137.22
1483480,650.00,757.89,-107.89
1483481,300.00,318.00,-18.00
1483482,660.00,699.60,-39.60
1483483,412.50,437.25,-24.75
1483485,751.50,853.04,-101.54
1483486,231.25,399.38,-168.13
1483487,2682.50,2922.42,-239.92
1483488,1041.00,1220.33,-179.33
1483489,3008.00,3273.82,-265.82
1483490,1662.50,1881.77,-219.27
1483491,756.00,862.58,-106.58
1483492,1529.50,1670.30,-140.80
1483493,9837.50,10794.51,-957.01
1483494,5463.00,6226.71,-763.71
1483495,1980.75,2198.97,-218.22
1483496,2645.50,2900.16,-254.66
1483497,1567.50,1781.07,-213.57
1483498,3220.50,3511.78,-291.28
1483499,12798.00,17460.59,-4662.59
1483500,4485.00,4890.58,-405.58
1483501,8105.25,9072.28,-967.03
1483502,2800.00,3300.84,-500.84
1483503,574.00,705.70,-131.70
1483504,738.00,867.50,-129.50
1483505,4083.51,4473.48,-389.97
1483506,1831.25,2030.59,-199.34
1483507,8008.50,8783.16,-774.66
1483508,1545.50,1702.36,-156.86
1483509,1787.50,2124.24,-336.74
1483510,2056.25,2493.37,-437.12
1483511,3215.63,3538.63,-323.00
