day,plant_code,delv_qty,concrete_delv_qty,revenue,ticket_line_count
2025-02-01,1,97.00,0,2425.00,1
2025-02-01,3,64.00,0,1600.00,3
2025-02-01,4,27.50,0,687.50,3
2025-02-01,40,90.00,0,8952.00,3
2025-02-01,42,129.00,0,6310.00,4
2025-02-01,43,73.00,0,6972.50,3
2025-02-01,44,270.50,0,22661.25,4
2025-02-01,6,30.00,0,750.00,1
2025-02-03,1,67.00,67.00,11061.01,9
2025-02-03,3,68.25,68.25,10715.75,9
2025-02-03,4,651.00,651.00,98116.53,76
2025-02-03,40,6.00,0,202.50,2
2025-02-03,6,249.00,249.00,39249.88,33
2025-02-04,1,301.25,301.25,49521.39,38
2025-02-04,3,232.25,232.25,35556.50,36
2025-02-04,4,673.50,673.50,104707.89,85
2025-02-04,40,28.00,0,445.50,3
2025-02-04,43,2.00,0,22.00,1
2025-02-04,44,207.42,0,7467.12,9
2025-02-04,6,406.00,405.00,65912.52,50
2025-02-05,1,63.25,63.25,9702.00,11
2025-02-05,3,255.75,255.75,40301.13,32
2025-02-05,4,459.75,459.75,70880.66,58
2025-02-05,40,39.00,0,1072.50,2
2025-02-05,42,2.00,0,120.00,1
2025-02-05,44,6.00,0,300.00,1
2025-02-05,6,305.25,304.25,48458.63,44
2025-02-06,1,3.00,3.00,514.50,1
2025-02-06,3,3.00,3.00,543.00,1
2025-02-06,4,141.00,141.00,21402.00,17
2025-02-06,6,12.50,12.50,2074.50,2
2025-02-07,1,57.50,57.50,9634.25,8
2025-02-07,3,158.50,158.50,25646.75,21
2025-02-07,4,623.00,619.00,96491.53,76
2025-02-07,40,6.00,0,165.00,2
2025-02-07,6,286.50,286.50,46453.13,37
2025-02-10,1,59.00,59.00,9884.50,8
2025-02-10,3,116.50,116.50,17531.50,16
2025-02-10,4,965.50,963.50,143576.71,123
2025-02-10,40,31.00,0,980.00,2
2025-02-10,43,15.00,0,173.00,3
2025-02-10,44,1.00,0,95.00,1
2025-02-10,6,407.00,407.00,60153.76,50
2025-02-11,1,94.00,94.00,14182.27,13
2025-02-11,3,107.50,107.50,15289.52,14
2025-02-11,4,332.00,332.00,50025.54,40
2025-02-11,40,3.00,0,39.00,1
2025-02-11,6,135.50,135.50,19366.02,19
2025-02-13,1,88.75,88.75,13819.88,12
2025-02-13,3,49.75,49.75,8651.50,9
2025-02-13,4,187.50,187.50,28343.14,24
2025-02-13,42,3.00,0,180.00,1
2025-02-13,43,2.00,0,120.00,1
2025-02-13,6,466.50,466.50,73899.18,60
2025-02-14,1,46.50,46.50,7629.76,7
2025-02-14,3,75.50,75.50,12033.50,10
2025-02-14,4,532.25,532.25,81664.76,64
2025-02-14,40,42.00,0,680.00,2
2025-02-14,44,1.00,0,50.00,11
2025-02-14,6,412.50,412.50,62166.75,49
2025-02-17,1,21.50,21.50,3517.50,3
2025-02-17,3,130.00,130.00,21301.00,18
2025-02-17,4,464.00,464.00,69446.17,54
2025-02-17,40,12.00,0,180.00,1
2025-02-17,42,4.00,0,150.00,2
2025-02-17,43,5.00,0,65.00,1
2025-02-17,44,11.00,0,1045.00,1
2025-02-17,6,172.50,172.50,27458.25,24
2025-02-18,1,140.50,140.50,21928.51,18
2025-02-18,3,204.00,204.00,28927.75,25
2025-02-18,4,409.50,409.50,62328.89,53
2025-02-18,40,36.33,0,996.05,2
2025-02-18,43,22.00,0,363.00,1
2025-02-18,6,302.00,298.00,48243.13,37
2025-02-19,1,121.50,121.50,18704.25,14
2025-02-19,3,51.00,51.00,7430.25,6
2025-02-19,4,154.25,154.25,23334.51,20
2025-02-19,40,24.00,0,922.50,2
2025-02-19,6,186.25,186.25,28845.63,24
2025-02-20,1,48.50,48.50,7761.26,6
2025-02-20,3,64.00,64.00,9736.26,11
2025-02-20,4,101.50,101.50,15949.50,14
2025-02-20,44,74.00,0,4080.00,2
2025-02-20,6,124.50,124.50,18433.77,17
2025-02-21,1,154.00,154.00,23111.50,17
2025-02-21,3,34.50,34.50,5469.75,6
2025-02-21,4,810.00,810.00,118987.15,93
2025-02-21,40,40.00,0,1400.00,2
2025-02-21,43,69.00,0,2145.00,6
2025-02-21,6,273.75,273.75,41775.38,34
2025-02-24,1,132.25,131.25,21590.38,22
2025-02-24,3,326.25,322.75,53141.26,39
2025-02-24,4,728.25,727.25,111822.56,88
2025-02-24,40,73.48,0,2831.59,11
2025-02-24,43,53.50,0,3805.00,6
2025-02-24,44,32.00,0,1920.00,1
2025-02-24,6,470.50,470.50,75262.79,59
2025-02-25,1,197.00,197.00,33776.38,29
2025-02-25,3,183.50,183.50,29836.50,23
2025-02-25,4,692.25,687.25,107768.53,87
2025-02-25,40,52.00,0,1140.00,4
2025-02-25,44,10.00,0,540.00,3
2025-02-25,6,463.75,463.75,72980.50,60
2025-02-26,1,304.75,300.75,48980.52,41
2025-02-26,3,201.50,201.50,33925.75,26
2025-02-26,4,1008.50,1008.50,156962.57,122
2025-02-26,40,74.00,0,2128.50,5
2025-02-26,44,15.00,0,570.00,3
2025-02-26,6,465.50,464.50,73687.55,58
2025-02-27,1,59.50,59.50,9965.26,13
