day,plant_code,prod_line_code,delv_qty_uom,loads,concrete_delv_qty,revenue,ticket_line_count
2025-02-01,1,CC,80004,1,0,2425.00,1
2025-02-01,3,CC,80004,3,0,1600.00,3
2025-02-01,4,CC,80004,3,0,687.50,3
2025-02-01,40,CC,90005,2,0,8952.00,3
2025-02-01,42,CC,90005,1,0,6310.00,4
2025-02-01,43,CC,90005,3,0,6972.50,3
2025-02-01,44,CC,90005,2,0,22661.25,4
2025-02-01,6,CC,80004,1,0,750.00,1
2025-02-03,1,CC,40003,9,67.00,11061.01,9
2025-02-03,3,CC,40003,9,68.25,10715.75,9
2025-02-03,4,CC,40003,76,651.00,98116.53,76
2025-02-03,40,CC,60003,2,0,202.50,2
2025-02-03,6,CC,40003,33,249.00,39249.88,33
2025-02-04,1,CC,40003,38,301.25,49521.39,38
2025-02-04,3,CC,40003,36,232.25,35556.50,36
2025-02-04,4,CC,40003,85,673.50,104707.89,85
2025-02-04,40,CC,60003,3,0,445.50,3
2025-02-04,43,CC,60003,1,0,22.00,1
2025-02-04,44,CC,60003,9,0,7467.12,9
2025-02-04,6,CC,40003,49,405.00,65862.52,49
2025-02-04,6,CC,80001,1,0,50.00,1
2025-02-05,1,CC,40003,11,63.25,9702.00,11
2025-02-05,3,CC,40003,32,255.75,40301.13,32
2025-02-05,4,CC,40003,58,459.75,70880.66,58
2025-02-05,40,CC,60003,2,0,1072.50,2
2025-02-05,42,CC,80001,1,0,120.00,1
2025-02-05,44,CC,60003,1,0,300.00,1
2025-02-05,6,CC,40003,43,304.25,48378.63,43
2025-02-05,6,CC,80001,1,0,80.00,1
2025-02-06,1,CC,40003,1,3.00,514.50,1
2025-02-06,3,CC,40003,1,3.00,543.00,1
2025-02-06,4,CC,40003,17,141.00,21402.00,17
2025-02-06,6,CC,40003,2,12.50,2074.50,2
2025-02-07,1,CC,40003,8,57.50,9634.25,8
2025-02-07,3,CC,40003,21,158.50,25646.75,21
2025-02-07,4,CC,40003,75,619.00,96475.53,75
2025-02-07,4,CC,80001,1,0,16.00,1
2025-02-07,40,CC,60003,2,0,165.00,2
2025-02-07,6,CC,40003,37,286.50,46453.13,37
2025-02-10,1,CC,40003,8,59.00,9884.50,8
2025-02-10,3,CC,40003,16,116.50,17531.50,16
2025-02-10,4,CC,40003,122,963.50,142776.71,122
2025-02-10,4,CC,80001,1,0,800.00,1
2025-02-10,40,CC,60003,1,0,200.00,1
2025-02-10,40,CC,80001,1,0,780.00,1
2025-02-10,43,CC,60003,3,0,173.00,3
2025-02-10,44,CC,80002,1,0,95.00,1
2025-02-10,6,CC,40003,50,407.00,60153.76,50
2025-02-11,1,CC,40003,13,94.00,14182.27,13
2025-02-11,3,CC,40003,14,107.50,15289.52,14
2025-02-11,4,CC,40003,40,332.00,50025.54,40
2025-02-11,40,CC,60003,1,0,39.00,1
2025-02-11,6,CC,40003,19,135.50,19366.02,19
2025-02-13,1,CC,40003,12,88.75,13819.88,12
2025-02-13,3,CC,40003,9,49.75,8651.50,9
2025-02-13,4,CC,40003,24,187.50,28343.14,24
2025-02-13,42,CC,80001,1,0,180.00,1
2025-02-13,43,CC,80001,1,0,120.00,1
2025-02-13,6,CC,40003,60,466.50,73899.18,60
2025-02-14,1,CC,40003,7,46.50,7629.76,7
2025-02-14,3,CC,40003,10,75.50,12033.50,10
2025-02-14,4,CC,40003,64,532.25,81664.76,64
2025-02-14,40,CC,60003,2,0,680.00,2
2025-02-14,44,CC,80002,10,0,0.00,10
2025-02-14,44,CC,90005,1,0,50.00,1
2025-02-14,6,CC,40003,49,412.50,62166.75,49
2025-02-17,1,CC,40003,3,21.50,3517.50,3
2025-02-17,3,CC,40003,18,130.00,21301.00,18
2025-02-17,4,CC,40003,54,464.00,69446.17,54
2025-02-17,40,CC,60003,1,0,180.00,1
2025-02-17,42,CC,80001,1,0,150.00,2
2025-02-17,43,CC,60003,1,0,65.00,1
2025-02-17,44,CC,80002,1,0,1045.00,1
2025-02-17,6,CC,40003,24,172.50,27458.25,24
2025-02-18,1,CC,40003,18,140.50,21928.51,18
2025-02-18,3,CC,40003,25,204.00,28927.75,25
2025-02-18,4,CC,40003,53,409.50,62328.89,53
2025-02-18,40,CC,60003,2,0,996.05,2
2025-02-18,43,CC,60003,1,0,363.00,1
2025-02-18,6,CC,40003,36,298.00,48227.13,36
2025-02-18,6,CC,80001,1,0,16.00,1
2025-02-19,1,CC,40003,14,121.50,18704.25,14
2025-02-19,3,CC,40003,6,51.00,7430.25,6
2025-02-19,4,CC,40003,20,154.25,23334.51,20
2025-02-19,40,CC,60003,2,0,922.50,2
2025-02-19,6,CC,40003,24,186.25,28845.63,24
2025-02-20,1,CC,40003,6,48.50,7761.26,6
2025-02-20,3,CC,40003,11,64.00,9736.26,11
2025-02-20,4,CC,40003,14,101.50,15949.50,14
2025-02-20,44,CC,80001,1,0,4080.00,2
2025-02-20,6,CC,40003,17,124.50,18433.77,17
2025-02-21,1,CC,40003,17,154.00,23111.50,17
2025-02-21,3,CC,40003,6,34.50,5469.75,6
2025-02-21,4,CC,40003,93,810.00,118987.15,93
2025-02-21,40,CC,60003,1,0,800.00,1
2025-02-21,40,CC,80001,1,0,600.00,1
2025-02-21,43,CC,60003,3,0,1540.00,3
2025-02-21,43,CC,80002,3,0,605.00,3
2025-02-21,6,CC,40003,34,273.75,41775.38,34
2025-02-24,1,CC,40003,21,131.25,21628.38,21
2025-02-24,1,CC,80001,1,0,-38.00,1
2025-02-24,3,CC,40003,38,322.75,51391.26,38
2025-02-24,3,CC,80001,1,0,1750.00,1
