order_date,order_code,order_intrnl_line_num,sort_line_num,prod_code,prod_descr,short_prod_descr,prod_cat,price,cstmry_price,metric_price,price_uom,cstmry_price_uom,metric_price_uom,price_derived_from_code,price_ext_code,price_qty,delv_price_flag,dflt_load_qty,cstmry_dflt_load_qty,metric_dflt_load_qty,dflt_load_qty_uom,order_qty_ext_code,order_dosage_qty,cstmry_order_dosage_qty,metric_order_dosage_qty,order_dosage_qty_uom,cstmry_order_dosage_qty_uom,metric_order_dosage_qty_uom,price_qty_ext_code,tkt_qty_ext_code,cred_price_adj_flag,cred_cost_adj_flag,order_qty,cstmry_order_qty,metric_order_qty,order_qty_uom,cstmry_order_qty_uom,metric_order_qty_uom,orig_order_qty,cstmry_orig_order_qty,metric_orig_order_qty,delv_qty,cstmry_delv_qty,metric_delv_qty,delv_qty_uom,cstmry_delv_qty_uom,metric_delv_qty_uom,delv_to_date_qty,cstmry_delv_to_date_qty,metric_delv_to_date_qty,rm_slump,rm_slump_uom,rm_mix_flag,comment_text,usage_code,taxble_code,non_tax_rsn_code,invc_flag,sep_invc_flag,remove_rsn_code,proj_line_num,cust_line_num,curr_load_num,quote_code,am_min_temp,moved_order_date,moved_to_order_code,moved_from_order_code,invy_adjust_code,sales_anl_adjust_code,mix_design_user_name,mix_design_update_date,qc_approvl_flag,qc_approvl_date,batch_code,chrg_cart_code,cart_rate_amt,quote_rev_num,type_price,matl_price,mix_sent_to_lab_status,lab_transfer_date,auth_user_name,linked_prod_seq_num,linked_prod_time_gap,cart_cat,additional_samples,apply_to_contract,contracted_samples,exclude_from_sample_sched_rpt,total_samples_to_take,pct_hydrate,pumped_indicator_code,writeoff_qty,writeoff_first_load_flag,record_origin_code,other_form_chng_code,update_date,u_version,cart_plant_codes,cart_truck_types,cart_rates,sur_codes,sur_rate_amts,apply_sur_rate_hler_flags,sundry_chrg_table_ids,sundry_chrg_sep_invc_flags,apply_sundry_chrg_flags,lot_num_list
2025-02-01 00:00:00,           1,1,1,3362X       ,4000# NA INT SLAB                       ,4000# NA INT SLB,     1,150.00,150.00,196.20,40003,40003,40013,14,1,0.00,False,9.50,9.50,7.26,40003,1,,,,,,,1,1,False,False,47.51,47.51,36.32,40003,40003,40013,47.51,47.51,36.32,0.00,0.00,0.00,40003,40003,40013,0.00,0.00,0.00,    4.00,,True,,   1,1,,False,False, 11,4,,,,,,,,,,,,False,,,,,,1,150.00,01,,,,,,,False,,False,,,,,False,,,2025-02-18 10:27:13.770000,#,,,,,,,,,,
2025-02-01 00:00:00,           2,1,1,           9,LABOR                                   ,LABOR           ,RENT  ,70.50,70.50,70.50,90005,90005,80001,91,,121.50,False,,,,90005,1,,,,,,,1,1,False,False,121.50,121.50,121.50,90005,90005,80001,121.50,121.50,121.50,121.50,121.50,121.50,90005,90005,80001,,,,,,False,,,1,,True,False,,,,1,,,,,,,,,,False,,,,,,1,0.00,,,,,,RENT  ,,False,,False,,,,,False,,,2025-02-07 10:30:31.210000,"""",,,,,,,,,,
2025-02-01 00:00:00,           2,2,2,           9,A390                                    ,A390            ,RENT  ,34.50,34.50,34.50,90005,90005,80001,91,,39.00,False,,,,90005,1,,,,,,,1,1,False,False,39.00,39.00,39.00,90005,90005,80001,39.00,39.00,39.00,39.00,39.00,39.00,90005,90005,80001,,,,,,False,,,1,,True,False,,,,1,,,,,,,,,,False,,,,,,1,0.00,,,,,,RENT  ,,False,,False,,,,,False,,,2025-02-07 10:30:31.220000,"""",,,,,,,,,,
2025-02-01 00:00:00,           3,1,1,           9,MONTHLY RENTALS                         ,A260/T9         ,RENT  ,103.00,103.00,103.00,90005,90005,80001,91,,3.50,False,,,,90005,1,,,,,,,1,1,False,False,3.50,3.50,3.50,90005,90005,80001,3.50,3.50,3.50,3.50,3.50,3.50,90005,90005,80001,,,,,,False,,,1,,True,False,,,,1,,,,,,,,,,False,,,,,,1,0.00,,,,,,RENT  ,,False,,False,,,,,False,,,2025-02-07 10:30:31.430000,"""",,,,,,,,,,
2025-02-01 00:00:00,           4,1,1,           9,MONTHLY RENTALS                         ,LABOR           ,RENT  ,70.50,70.50,70.50,90005,90005,80001,91,,24.00,False,,,,90005,1,,,,,,,1,1,False,False,24.00,24.00,24.00,90005,90005,80001,24.00,24.00,24.00,24.00,24.00,24.00,90005,90005,80001,,,,,,False,,,1,,True,False,,,,1,,,,,,,,,,False,,,,,,1,0.00,,,,,,RENT  ,,False,,False,,,,,False,,,2025-02-07 10:30:31.600000,"""",,,,,,,,,,
2025-02-01 00:00:00,           5,1,1,         700,MIXER RENTAL PLANT TO PLANT             ,MXR RNT PLT-PLT ,    31,25.00,25.00,25.00,80004,80004,80004,50,1,0.00,False,,,,80004,1,,,,,,,1,1,False,False,,,,80004,,,,,,0.00,0.00,0.00,80004,80004,80004,,,,,,False,,,0, 31,False,False,,,,0,,,,,,,,,,False,,,,,,1,0.00,,,,,,,,False,,False,,,,,False,,,2025-02-07 11:11:06.050000,"""",,,,,,,,,,
2025-02-01 00:00:00,           6,1,1,           9,B24                                     ,B24             ,RENT  ,38.00,38.00,38.00,90005,90005,80001,91,,8.00,False,,,,90005,1,,,,,,,1,1,False,False,8.00,8.00,8.00,90005,90005,80001,8.00,8.00,8.00,8.00,8.00,8.00,90005,90005,80001,,,,,,False,,,1,,True,False,,,,1,,,,,,,,,,False,,,,,,1,0.00,,,,,,RENT  ,,False,,False,,,,,False,,,2025-02-19 09:49:04.940000,"""",,,,,,,,,,
2025-02-01 00:00:00,           6,2,2,           9,B27                                     ,B27             ,RENT  ,94.50,94.50,94.50,90005,90005,80001,91,,16.00,False,,,,90005,1,,,,,,,1,1,False,False,16.00,16.00,16.00,90005,90005,80001,16.00,16.00,16.00,16.00,16.00,16.00,90005,90005,80001,,,,,,False,,,1,,True,False,,,,1,,,,,,,,,,False,,,,,,1,0.00,,,,,,RENT  ,,False,,False,,,,,False,,,2025-02-19 09:49:04.950000,"""",,,,,,,,,,
2025-02-01 00:00:00,           6,3,3,           9,F43                                     ,F43             ,RENT  ,42.00,42.00,42.00,90005,90005,80001,91,,102.00,False,,,,90005,1,,,,,,,1,1,False,False,102.00,102.00,102.00,90005,90005,80001,102.00,102.00,102.00,102.00,102.00,102.00,90005,90005,80001,,,,,,False,,,1,,True,False,,,,1,,,,,,,,,,False,,,,,,1,0.00,,,,,,RENT  ,,False,,False,,,,,False,,,2025-02-19 09:49:04.980000,"""",,,,,,,,,,
2025-02-01 00:00:00,           6,4,4,           9,K18                                     ,K18             ,RENT  ,70.00,70.00,70.00,90005,90005,80001,91,,3.00,False,,,,90005,1,,,,,,,1,1,False,False,3.00,3.00,3.00,90005,90005,80001,3.00,3.00,3.00,3.00,3.00,3.00,90005,90005,80001,,,,,,False,,,1,,True,False,,,,1,,,,,,,,,,False,,,,,,1,0.00,,,,,,RENT  ,,False,,False,,,,,False,,,2025-02-19 09:49:05.010000,"""",,,,,,,,,,
