batch_date,batch_num,batch_seq,batch_sub_seq,trans_type,cost_center,acct_code,sub_acct_code,prod_code,qty,qty_uom,trans_date,trans_amt,ref_note,gl_dist_type,post_stat,updt_stat,comp_code,cf_batch_date,cf_batch_num,cf_batch_seq,qty_trans_flag,acct_code_derived_from_code,sub_acct_derived_from_code,cost_center_derived_from_code,dataout_date,update_date,u_version
2025-02-01 00:00:00,1,1,23177900,11,18          ,   995,#     ,           9,0.00,,2025-02-01 00:00:00,-9911.25,,,4,False,1   ,,,,False,004001,004001,004001,,2025-02-07 10:31:43.160000,""""
2025-02-01 00:00:00,1,1,23177901,11,11          ,   020,#     ,,,,2025-02-01 00:00:00,9911.25,,,4,False,1   ,,,,False,001002,001002,001002,,2025-02-07 10:31:43.160000,""""
2025-02-01 00:00:00,1,2,23177902,11,17          ,   995,#     ,           9,0.00,,2025-02-01 00:00:00,-360.50,,,4,False,1   ,,,,False,005001,005001,005001,,2025-02-07 10:31:43.160000,""""
2025-02-01 00:00:00,1,2,23177903,11,11          ,   020,#     ,,,,2025-02-01 00:00:00,360.50,,,4,False,1   ,,,,False,001002,001002,001002,,2025-02-07 10:31:43.170000,""""
2025-02-01 00:00:00,1,3,23177904,11,18          ,   995,#     ,           9,0.00,,2025-02-01 00:00:00,-1692.00,,,4,False,1   ,,,,False,005001,005001,005001,,2025-02-07 10:31:43.170000,""""
2025-02-01 00:00:00,1,3,23177905,11,11          ,   020,#     ,,,,2025-02-01 00:00:00,1692.00,,,4,False,1   ,,,,False,001002,001002,001002,,2025-02-07 10:31:43.170000,""""
2025-02-01 00:00:00,2,1,23180315,11,17          ,   980,#     ,9102A       ,22.50,,2025-02-01 00:00:00,-2970.00,,,4,False,1   ,,,,False,005001,005001,005001,,2025-02-11 12:44:36.430000,""""
2025-02-01 00:00:00,2,1,23180316,11,17          ,   980,#     ,9102A       ,,40003,2025-02-01 00:00:00,22.50,,,4,False,1   ,,,,True,005015,005015,005015,,2025-02-11 12:44:36.430000,""""
2025-02-01 00:00:00,2,1,23180317,11,17          ,   980,#     ,           2,0.00,,2025-02-01 00:00:00,-90.00,,,4,False,1   ,,,,False,005001,005001,005001,,2025-02-11 12:44:36.450000,""""
2025-02-01 00:00:00,2,1,23180318,11,17          ,   992,#     ,FSC         ,0.00,,2025-02-01 00:00:00,-24.75,,,4,False,1   ,,,,False,005001,005001,005001,,2025-02-11 12:44:36.450000,""""
2025-02-01 00:00:00,2,1,23180319,11,17          ,   014,#     ,,,,2025-02-01 00:00:00,-143.10,,,4,False,1   ,,,,False,012007,012007,012007,,2025-02-11 12:44:36.450000,""""
2025-02-01 00:00:00,2,1,23180320,11,11          ,   020,#     ,,,,2025-02-01 00:00:00,3227.85,,,4,False,1   ,,,,False,001002,001002,001002,,2025-02-11 12:44:36.450000,""""
2025-02-01 00:00:00,2,2,23180321,21,17          ,   980,#     ,9102A       ,-22.50,,2025-02-01 00:00:00,3858.75,,,4,False,1   ,,,,False,005001,005001,005001,,2025-02-11 12:44:36.450000,""""
2025-02-01 00:00:00,2,2,23180322,21,17          ,   980,#     ,9102A       ,,40003,2025-02-01 00:00:00,-22.50,,,4,False,1   ,,,,True,005015,005015,005015,,2025-02-11 12:44:36.470000,""""
2025-02-01 00:00:00,2,2,23180323,21,17          ,   980,#     ,           2,0.00,,2025-02-01 00:00:00,90.00,,,4,False,1   ,,,,False,005001,005001,005001,,2025-02-11 12:44:36.470000,""""
2025-02-01 00:00:00,2,2,23180324,21,17          ,   992,#     ,FSC         ,0.00,,2025-02-01 00:00:00,24.75,,,4,False,1   ,,,,False,005001,005001,005001,,2025-02-11 12:44:36.470000,""""
2025-02-01 00:00:00,2,2,23180325,21,17          ,   014,#     ,,,,2025-02-01 00:00:00,196.43,,,4,False,1   ,,,,False,012007,012007,012007,,2025-02-11 12:44:36.470000,""""
2025-02-01 00:00:00,2,2,23180326,21,11          ,   020,#     ,,,,2025-02-01 00:00:00,-4169.93,,,4,False,1   ,,,,False,001002,001002,001002,,2025-02-11 12:44:36.470000,""""
2025-02-01 00:00:00,3,1,23183355,11,18          ,   995,#     ,           9,0.00,,2025-02-01 00:00:00,-6310.00,,,4,False,1   ,,,,False,004001,004001,004001,,2025-02-19 09:49:42.460000,""""
