batch_date,batch_num,batch_seq,batch_sub_seq,trans_type,cost_center,acct_code,sub_acct_code,prod_code,qty,qty_uom,trans_date,trans_amt,ref_note,gl_dist_type,post_stat,updt_stat,comp_code,cf_batch_date,cf_batch_num,cf_batch_seq,qty_trans_flag,acct_code_derived_from_code,sub_acct_derived_from_code,cost_center_derived_from_code,dataout_date,update_date,u_version
2025-01-01 00:00:00,1,1,23165157,11,18          ,   995,#     ,           9,0.00,,2025-01-01 00:00:00,-99.00,,,4,False,1   ,,,,False,005001,005001,005001,,2025-01-21 08:30:32.590000,""""
2025-01-01 00:00:00,1,1,23165158,11,11          ,   020,#     ,,,,2025-01-01 00:00:00,99.00,,,4,False,1   ,,,,False,001002,001002,001002,,2025-01-21 08:30:32.590000,""""
2025-01-02 00:00:00,1,1,23160241,11,15          ,   980,#     ,9143A       ,38.50,,2025-01-02 00:00:00,-5043.50,,,4,False,1   ,,,,False,005001,005001,005001,,2025-01-16 15:31:54.070000,""""
2025-01-02 00:00:00,1,1,23160242,11,15          ,   980,#     ,9143A       ,,40003,2025-01-02 00:00:00,38.50,,,4,False,1   ,,,,True,005015,005015,005015,,2025-01-16 15:31:54.080000,""""
2025-01-02 00:00:00,1,1,23160243,11,15          ,   980,#     ,           2,0.00,,2025-01-02 00:00:00,-423.50,,,4,False,1   ,,,,False,005001,005001,005001,,2025-01-16 15:31:54.080000,""""
2025-01-02 00:00:00,1,1,23160244,11,15          ,   992,#     ,FSCNT       ,0.00,,2025-01-02 00:00:00,-49.50,,,4,False,1   ,,,,False,005001,005001,005001,,2025-01-16 15:31:54.080000,""""
2025-01-02 00:00:00,1,1,23160245,11,11          ,   020,#     ,,,,2025-01-02 00:00:00,5516.50,,,4,False,1   ,,,,False,001002,001002,001002,,2025-01-16 15:31:54.080000,""""
2025-01-02 00:00:00,1,2,23160246,11,17          ,   980,#     ,1322A       ,7.00,,2025-01-02 00:00:00,-1211.00,,,4,False,1   ,,,,False,005001,005001,005001,,2025-01-16 15:31:54.080000,""""
2025-01-02 00:00:00,1,2,23160247,11,17          ,   980,#     ,1322A       ,,40003,2025-01-02 00:00:00,7.00,,,4,False,1   ,,,,True,005015,005015,005015,,2025-01-16 15:31:54.100000,""""
2025-01-02 00:00:00,1,2,23160248,11,17          ,   983,#     ,ACNC2.0     ,0.00,,2025-01-02 00:00:00,-84.00,,,4,False,1   ,,,,False,005001,005001,005001,,2025-01-16 15:31:54.100000,""""
